locality,site,bar,station,strata
BT,I,1,BTI1,N_NA
BT,I,2,BTI2,N_NA
BT,I,3,BTI3,N_NA
BT,I,4,BTI4,N_NA
BT,I,5,BTI5,N_NA
BT,I,6,BTI6,N_NA
LC,I,1,LCI1,N_NA
LC,I,10,LCI10,Y_NA
LC,I,11,LCI11,Y_NA
LC,I,12,LCI12,Y_NA
LC,I,13,LCI13,Y_NA
LC,I,14,LCI14,Y_NA
LC,I,15,LCI15,Y_NA
LC,I,16,LCI16,Y_NA
LC,I,17,LCI17,Y_NA
LC,I,18,LCI18,Y_NA
LC,I,19,LCI19,Y_NA
LC,I,2,LCI2,Y_NA
LC,I,3,LCI3,Y_NA
LC,I,4,LCI4,Y_NA
LC,I,5,LCI5,Y_NA
LC,I,6,LCI6,Y_NA
LC,I,7,LCI7,N_NA
LC,I,8,LCI8,Y_NA
LC,I,9,LCI9,Y_NA
LC,N,1,LCN1,Y_NA
LC,N,2,LCN2,Y_NA
LC,N,3,LCN3,Y_NA
LC,N,4,LCN4,Y_NA
LC,N,5,LCN5,Y_NA
LC,N,6,LCN6,Y_NA
LC,N,7,LCN7,Y_NA
LC,N,8,LCN8,Y_NA
LC,N,9,LCN9,Y_NA
LC,O,10A,LCO10A,N_LG
LC,O,11A,LCO11A,N_LG
LC,O,11B,LCO11B,N_LG
LC,O,12,LCO12,N_LG
LC,O,13,LCO13,N_SM
LC,O,14,LCO14,N_SM
LC,O,15,LCO15,N_SM
LC,O,16,LCO16,N_SM
LC,O,17,LCO17,Y_SM
LC,O,19,LCO19,Y_SM
LC,O,20,LCO20,Y_SM
LC,O,21,LCO21,Y_SM
LC,O,22,LCO22,Y_SM
LC,O,9B,LCO9B,N_LG
LC,O,9C,LCO9C,N_LG
LC,O,2,LCO2,N_LG
LC,O,3,LCO3,N_LG
LC,O,4,LCO4,N_LG
LC,O,8A,LCO8A,N_LG
LT,I,1,LTI1,N_NA
LT,I,2,LTI2,N_NA
LT,I,3,LTI3,N_NA
LT,I,4,LTI4,N_NA
LT,I,5,LTI5,N_NA
LT,I,6,LTI6,N_NA
NN,I,1,NNI1,N_NA
NN,I,2,NNI2,N_NA
NN,I,3,NNI3,N_NA
NN,I,4,NNI4,N_NA
CK,I,1,CKI1,Y_NA
CK,I,2,CKI2,Y_NA
CK,I,3,CKI3,Y_NA
CK,N,1,CKN1,Y_NA
CK,N,2,CKN2,Y_NA
CK,N,3,CKN3,Y_NA
CK,O,1,CKO1,Y_NA
CK,O,2,CKO2,Y_NA
CK,O,3,CKO3,Y_NA
CR,I,1,CRI1,N_NA
CR,I,2,CRI2,N_NA
CR,I,3,CRI3,N_NA
CR,N,1,CRN1,Y_NA
CR,N,2,CRN2,Y_NA
CR,N,3,CRN3,Y_NA
CR,O,1,CRO1,Y_NA
CR,O,2,CRO2,Y_NA
CR,O,3,CRO3,Y_NA
CR,O,4,CRO4,Y_NA
HB,I,1,HBI1,Y_NA
HB,I,2,HBI2,N_NA
HB,I,3,HBI3,Y_NA
HB,I,4,HBI4,Y_NA
HB,N,1,HBN1,Y_NA
HB,N,2,HBN2,Y_NA
HB,N,3,HBN3,Y_NA
HB,N,5,HBN5,Y_NA
HB,N,6,HBN6,Y_NA
HB,O,1,HBO1,Y_NA
HB,O,2,HBO2,Y_NA
HB,O,3,HBO3,Y_NA
LC,O,0,LCO0,N_NA
LC,O,10B,LCO10B,N_LG
LC,O,8B,LCO8B,N_LG
LC,O,9A,LCO9A,N_LG
